Mapping project name,ESCO - SE NSC;
Mapping project author,default-author;
Mapping project version,N/A;
Mapping project version date,45243;
Classification 1 Name,Esco - kompetenser;
Classification 1 Concept type,Skills;
Classification 1 Version,1.0.9;
Classification 1 Language,sv;
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill;
Classification 2 Name,Swedish skills;
Classification 2 Concept type,Skill;
Classification 2 Version,21;
Classification 2 Language,sv;
Classification 2 Landing page,https://atlas.jobtechdev.se/;
,;
,;
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note;
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/LAFL_9mg_crP,""Peoplesoft, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/mDcD_5SH_S7V,""ASW, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/UJcF_SrQ_Jvw,""ERP-system, erfarenhet"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/MDX9_9sL_df3,""ComActivity, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/u5xh_813_M33,""FDT, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/34kt_5uy_oYz,""Movex, affärssystem"",,skos:narrowMatch,";
http://data.europa.eu/esco/skill/ece25f2f-e91a-4186-a221-caa715195fd7,agera diplomatiskt,,,,,no relation,;
http://data.europa.eu/esco/skill/f6a2f139-d935-4fcd-b966-738f08f74bea,agera i scener för filminspelning,,http://data.jobtechdev.se/taxonomy/concept/xg4K_GnJ_Br6,Skådespeleri,,skos:broadMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/o7bJ_ybe_wGE,Mimskådespeleri,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/sLKk_foz_vfJ,Playback,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/yBkF_Sqo_p9Y,Kvinnoroll,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/43v8_evE_cUE,Teater,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/VVQA_hhQ_fSw,Pantomim,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/L1Q1_Msi_Ce5,Imitation,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/42PE_qfg_e8t,Recitation,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/LbVL_7Za_A9v,Kabaré/Revy,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/1Zdo_oLy_D7a,Mansroll,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/KHw4_zHG_x1r,Experimentell teater,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/ffYe_zLb_K7F,Radioteater,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/b983e86d-61d5-4ebf-8810-2650c91da096,agera inför publik,,http://data.jobtechdev.se/taxonomy/concept/orrr_BKG_xE1,Komik,,skos:narrowMatch,;
