Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,diet cook,http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,3643,Dieetkok,,skos:exactMatch
http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,waiter/waitress,http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,1000400544,Assistent bediening horeca,,skos:narrowMatch
http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,head waiter/head waitress,http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,1000400603,Chef bediening horeca,,skos:exactMatch
http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,head waiter/head waitress,http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,10307,Eerste medewerker bediening horeca,,skos:narrowMatch
http://data.europa.eu/esco/occupation/fae51298-03a8-4df4-829a-685dddc1580e,housekeeping supervisor,http://data.europa.eu/esco/occupation/fae51298-03a8-4df4-829a-685dddc1580e,1000400684,Werkvoorbereider zaalinrichting banqueting,,skos:narrowMatch
http://data.europa.eu/esco/occupation/fae51298-03a8-4df4-829a-685dddc1580e,housekeeping supervisor,http://data.europa.eu/esco/occupation/fae51298-03a8-4df4-829a-685dddc1580e,1000400183,Zalencoördinator banqueting,,skos:narrowMatch
http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,room attendant,http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,1000400230,Zalenzetter banqueting,,skos:narrowMatch
http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,hairdresser,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,1000000151,Afrokapper,,skos:narrowMatch
http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,hairdresser,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,1000406338,Bedrijfsleider / ondernemer kapperszaak,,skos:narrowMatch
http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,hairdresser,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,1000400093,Eerste kapper,,skos:broadMatch
