Mapping project name,ESCO - Национална класификация,,,,,
Mapping project author,default-author,,,,,
Mapping project version,N/A,,,,,
Mapping project version date,2022-03-21,,,,,
Classification 1 Name,Професии в ESCO,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,bg,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Национална класификация на професиите и длъжностите,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,2011,,,,,
Classification 2 Language,bg,,,,,
Classification 2 Landing page,https://mlsp.government.bg/nkpd/,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/40b77b1b-6f9c-4d25-8b08-8b3cb0aaf7e7,проктант-ръководител на взривни работи,http://data.europa.eu/esco/occupation/40b77b1b-6f9c-4d25-8b08-8b3cb0aaf7e7,http://data.europa.eu/esco/concept/bulgarian-occupations/75422007,Проктант/ръководител на взривни работи,,skos:exactMatch
http://data.europa.eu/esco/isco/C3311,Дилъри на ценни книжа и финансови посредници,http://data.europa.eu/esco/isco/C3311,http://data.europa.eu/esco/concept/bulgarian-occupations/33113001,"Брокер, финанси",,skos:narrowMatch
http://data.europa.eu/esco/isco/C3155,Техници по сигурността на въздушния трафик,http://data.europa.eu/esco/isco/C3155,http://data.europa.eu/esco/concept/bulgarian-occupations/31553002,Авиомоторист,,skos:narrowMatch
http://data.europa.eu/esco/isco/C4415,Деловодители/архивари,http://data.europa.eu/esco/isco/C4415,http://data.europa.eu/esco/concept/bulgarian-occupations/41312004,"Оператор, копирна техника",,skos:narrowMatch
http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,"специалист, транспортно планиране",http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,http://data.europa.eu/esco/concept/bulgarian-occupations/21646002,"Специалист, пространствено и градско планиране",,skos:closeMatch
http://data.europa.eu/esco/occupation/9967986b-570d-4db1-a179-aad7d1623ea8,"ръководител, смяна на летище",http://data.europa.eu/esco/occupation/9967986b-570d-4db1-a179-aad7d1623ea8,http://data.europa.eu/esco/concept/bulgarian-occupations/11207044,"Директор, обособено звено аеронавигационното в обслужване",,skos:closeMatch
http://data.europa.eu/esco/occupation/21fe7141-68fa-4db7-9ee2-53097cef541a,"работник, строителство на водни пътища",http://data.europa.eu/esco/occupation/21fe7141-68fa-4db7-9ee2-53097cef541a,http://data.europa.eu/esco/concept/bulgarian-occupations/93120003,"Работник, строителството",,skos:broadMatch
http://data.europa.eu/esco/occupation/d23fbcdc-d5e9-4724-a83f-99a0cfa8adb0,корепетитор,http://data.europa.eu/esco/occupation/d23fbcdc-d5e9-4724-a83f-99a0cfa8adb0,http://data.europa.eu/esco/concept/bulgarian-occupations/26528024,Корепетитор,,skos:exactMatch
http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,документалист,http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,http://data.europa.eu/esco/concept/bulgarian-occupations/26226010,Документалист,,skos:exactMatch
http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407,чертожник,http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407,http://data.europa.eu/esco/concept/bulgarian-occupations/31183016,"Чертожник, топография",,skos:narrowMatch
http://data.europa.eu/esco/isco/C2411,Одитори и счетоводители,http://data.europa.eu/esco/isco/C2411,http://data.europa.eu/esco/concept/bulgarian-occupations/24116015,"Старши банков служител, финансов контрол",,skos:narrowMatch
