Mapping project name,ESCO - ROME
Mapping project author,Pôle emploi - France
Mapping project version,V1.4
Mapping project version date,13/07/2022
Classification 1 Name,ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.1
Classification 1 Language,fr
Classification 1 Landing page,https://esco.ec.europa.eu/fr/classification/occupation_main
Classification 2 Name,ROME 
Classification 2 Concept type,occupation
Classification 2 Version,V3.0
Classification 2 Language,fr
Classification 2 Landing page,https://www.pole-emploi.fr/employeur/vos-recrutements/le-rome-et-les-fiches-metiers.html


classification 1 ID,classification 1 prefered label,classification 2 ID,classification 2 prefered label,mapping relation
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20036,Technicien / Technicienne en agriculture biologique,skos:broadMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20037,Technicien / Technicienne en alimentation animale,skos:broadMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20066,Technicien / Technicienne en fabrication fromagère,skos:broadMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,20135,Technicien / Technicienne équin,skos:broadMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20147,Technicien foncier / Technicienne foncière,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20148,Technicien foncier / Technicienne foncière en agriculture,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,20149,Technicien forestier / Technicienne forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,20150,Technicien forestier / Technicienne forestière d'études et de recherche,skos:broadMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,20165,Technicien / Technicienne horticole,skos:broadMatch
http://data.europa.eu/esco/occupation/abc849b6-9e75-41ce-b1aa-4d488280a8a3,contrôleur en production laitière,20179,Technicien laitier / Technicienne laitière,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,20207,Technicien / Technicienne ovin,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,20218,Technicien / Technicienne porcin,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,20252,Technicien / Technicienne semences,skos:closeMatch
